Node Number	X Location (m)	Y Location (m)	Z Location (m)	
219	0,11783	8,7371e-002	0,	
220	0,12419	5,2824e-002	0,	
221	9,4586e-002	4,2568e-002	0,	
222	9,9617e-002	2,7738e-002	0,	
223	8,4425e-002	8,0744e-002	0,	
224	0,10797	5,1718e-002	0,	
225	3,5727e-002	4,5592e-002	0,	
226	2,4133e-002	2,8052e-002	0,	
227	7,8838e-002	1,1334e-002	0,	
228	4,4897e-002	8,2649e-002	0,	
229	9,6771e-002	7,3611e-002	0,	
230	2,849e-002	4,0674e-002	0,	
231	0,10314	6,6122e-002	0,	
232	1,4015e-002	2,9182e-002	0,	
233	0,11393	9,122e-002	0,	
234	2,1995e-002	4,6972e-002	0,	
235	4,7857e-002	5,4161e-002	0,	
236	2,1128e-002	6,7913e-002	0,	
237	8,7771e-002	3,2844e-002	0,	
238	5,8289e-002	3,6103e-002	0,	
239	0,13244	9,1943e-002	0,	
240	8,1553e-003	6,8923e-002	0,	
241	0,10557	7,863e-002	0,	
242	0,10855	9,2775e-002	0,	
243	4,817e-002	1,9135e-002	0,	
244	0,12576	6,8675e-002	0,	
245	2,8836e-002	5,8028e-002	0,	
246	0,10538	6,0056e-002	0,	
247	0,11131	8,0506e-002	0,	
248	7,7842e-002	6,4101e-002	0,	
249	0,11849	3,5119e-002	0,	
250	5,1131e-002	2,7315e-002	0,	
251	3,0395e-002	9,4322e-003	0,	
252	5,1602e-002	7,5745e-002	0,	
253	4,9754e-002	1,0307e-002	0,	
254	3,877e-002	9,4217e-002	0,	
255	1,6457e-002	4,7771e-002	0,	
256	7,688e-002	3,7042e-002	0,	
257	0,11678	4,0839e-002	0,	
258	8,4186e-002	2,9408e-002	0,	
259	8,482e-002	5,9958e-002	0,	
260	8,4948e-002	4,6506e-002	0,	
261	5,2361e-003	2,698e-002	0,	
262	0,11043	5,5894e-002	0,	
263	1,4308e-002	4,3152e-002	0,	
264	7,1336e-002	2,768e-002	0,	
265	9,9694e-002	2,1078e-002	0,	
266	7,5627e-002	5,1368e-002	0,	
267	8,652e-003	4,2088e-002	0,	
268	0,13147	5,5894e-002	0,	
269	7,9922e-002	2,6534e-002	0,	
270	0,10486	3,5038e-002	0,	
271	0,12843	4,587e-002	0,	
272	0,12215	9,4606e-002	0,	
273	9,8746e-002	9,4596e-002	0,	
274	0,12652	8,1798e-002	0,	
275	2,1723e-002	3,3051e-002	0,	
276	9,5313e-002	8,118e-002	0,	
277	4,7352e-002	3,1454e-002	0,	
278	3,7941e-002	2,6117e-002	0,	
279	8,272e-002	9,4923e-002	0,	
280	3,8029e-002	6,474e-002	0,	
